[11-Nov-2014 14:58:15 UTC] PHP Notice:  Undefined index: billing in W:\domains\wp\www\wp-content\plugins\saphali-woocommerce-lite\saphali-woocommerce-lite.php on line 1145
[11-Nov-2014 14:58:15 UTC] PHP Stack trace:
[11-Nov-2014 14:58:15 UTC] PHP   1. {main}() W:\domains\wp\www\wp-admin\admin-ajax.php:0
[11-Nov-2014 14:58:15 UTC] PHP   2. do_action() W:\domains\wp\www\wp-admin\admin-ajax.php:85
[11-Nov-2014 14:58:15 UTC] PHP   3. call_user_func_array:{W:\domains\wp\www\wp-includes\plugin.php:505}() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:15 UTC] PHP   4. WC_AJAX::add_order_note() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:15 UTC] PHP   5. WC_Abstract_Order->add_order_note() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\class-wc-ajax.php:1464
[11-Nov-2014 14:58:15 UTC] PHP   6. do_action() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\abstracts\abstract-wc-order.php:2049
[11-Nov-2014 14:58:15 UTC] PHP   7. call_user_func_array:{W:\domains\wp\www\wp-includes\plugin.php:505}() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:15 UTC] PHP   8. WooCommerce->send_transactional_email() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:15 UTC] PHP   9. do_action_ref_array() W:\domains\wp\www\wp-content\plugins\woocommerce\woocommerce.php:552
[11-Nov-2014 14:58:15 UTC] PHP  10. call_user_func_array:{W:\domains\wp\www\wp-includes\plugin.php:580}() W:\domains\wp\www\wp-includes\plugin.php:580
[11-Nov-2014 14:58:15 UTC] PHP  11. WC_Email_Customer_Note->trigger() W:\domains\wp\www\wp-includes\plugin.php:580
[11-Nov-2014 14:58:15 UTC] PHP  12. WC_Email->get_content() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\emails\class-wc-email-customer-note.php:86
[11-Nov-2014 14:58:15 UTC] PHP  13. WC_Email_Customer_Note->get_content_html() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\abstracts\abstract-wc-email.php:313
[11-Nov-2014 14:58:15 UTC] PHP  14. wc_get_template() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\emails\class-wc-email-customer-note.php:103
[11-Nov-2014 14:58:15 UTC] PHP  15. include() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\wc-core-functions.php:189
[11-Nov-2014 14:58:15 UTC] PHP  16. wc_get_template() W:\domains\wp\www\wp-content\plugins\woocommerce\templates\emails\customer-note.php:64
[11-Nov-2014 14:58:15 UTC] PHP  17. include() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\wc-core-functions.php:189
[11-Nov-2014 14:58:15 UTC] PHP  18. WC_Abstract_Order->get_formatted_billing_address() W:\domains\wp\www\wp-content\plugins\woocommerce\templates\emails\email-addresses.php:22
[11-Nov-2014 14:58:15 UTC] PHP  19. apply_filters() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\abstracts\abstract-wc-order.php:894
[11-Nov-2014 14:58:15 UTC] PHP  20. call_user_func_array:{W:\domains\wp\www\wp-includes\plugin.php:214}() W:\domains\wp\www\wp-includes\plugin.php:214
[11-Nov-2014 14:58:15 UTC] PHP  21. saphali_lite->formatted_billing_address() W:\domains\wp\www\wp-includes\plugin.php:214
[11-Nov-2014 14:58:16 UTC] PHP Notice:  Undefined index: shipping in W:\domains\wp\www\wp-content\plugins\saphali-woocommerce-lite\saphali-woocommerce-lite.php on line 1167
[11-Nov-2014 14:58:16 UTC] PHP Stack trace:
[11-Nov-2014 14:58:16 UTC] PHP   1. {main}() W:\domains\wp\www\wp-admin\admin-ajax.php:0
[11-Nov-2014 14:58:16 UTC] PHP   2. do_action() W:\domains\wp\www\wp-admin\admin-ajax.php:85
[11-Nov-2014 14:58:16 UTC] PHP   3. call_user_func_array:{W:\domains\wp\www\wp-includes\plugin.php:505}() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:16 UTC] PHP   4. WC_AJAX::add_order_note() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:16 UTC] PHP   5. WC_Abstract_Order->add_order_note() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\class-wc-ajax.php:1464
[11-Nov-2014 14:58:16 UTC] PHP   6. do_action() W:\domains\wp\www\wp-content\plugins\woocommerce\includes\abstracts\abstract-wc-order.php:2049
[11-Nov-2014 14:58:16 UTC] PHP   7. call_user_func_array:{W:\domains\wp\www\wp-includes\plugin.php:505}() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:16 UTC] PHP   8. WooCommerce->send_transactional_email() W:\domains\wp\www\wp-includes\plugin.php:505
[11-Nov-2014 14:58:16 UTC] PHP   9. do_action_ref_array() W:\domains\wp\www\wp-content\plugins\woocommerce\woocommerce.php:552
